,Country,Cases,Deaths,Region
183,St. Vincent & Grenadines,1790,10,North America
184,Bermuda,1773,14,North America
185,Saint Martin,1693,12,North America
186,Isle of Man,1574,29,Europe
187,Caribbean Netherlands,1516,14,North America
188,Antigua and Barbuda,1197,30,North America
189,Mauritius,1190,12,Africa
190,Taiwan,1056,10,Asia
191,Timor-Leste,947,1,Asia
192,Bhutan,910,1,Asia
193,Saint Barthelemy,907,1,North America
194,Faeroe Islands,661,1,Europe
195,Cayman Islands,516,2,North America
196,Tanzania,509,21,Africa
197,Wallis & Futuna,432,5,Australia/Oceania
198,Brunei ,219,3,Asia
199,British Virgin Islands,178,1,North America
200,Dominica,165,0,North America
201,Grenada,155,1,North America
202,New Caledonia,121,0,Australia/Oceania
203,Fiji,68,2,Australia/Oceania
204,Falkland Islands,60,0,South America
205,Macao,49,0,Asia
206,Laos,49,0,Asia
207,Saint Kitts & Nevis,44,0,North America
208,Greenland,31,0,North America
209,Holy See,27,0,Europe
210,Anguilla,25,0,North America
211,Saint Pierre & Miquelon,24,0,North America
212,Montserrat,20,1,North America
213,Solomon Islands,19,0,Australia/Oceania
214,Western Sahara,10,1,Africa
215,MS Zaandam,9,2,
216,Marshall Islands,4,0,Australia/Oceania
217,Samoa,3,0,Australia/Oceania
218,Vanuatu,3,0,Australia/Oceania
219,Micronesia,1,0,Australia/Oceania
